Rank,Temperature,Category1,Category2,Name,Short Name,Size,Calories,Calories_Modified,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
25,Hot,Hot Coffees,Flat Whites,Almondmilk Honey Flat White,Almondmilk Honey Flat White,Grande,170,170,24,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg,,,,,,,,,
,Hot,Hot Coffees,Flat Whites,Almondmilk Honey Flat White with Blonde Espresso,Almondmilk Honey Flat White with Blonde Espresso,Grande,150,150,20,https://globalassets.starbucks.com/assets/77801559b72b469583f4d484adc1bfa7.jpg,,,,,,,,,
,Hot,Hot Coffees,Flat Whites,Blonde Flat White,,Grande,220,152.5,17,https://globalassets.starbucks.com/assets/fedee22e49724cd09fbcc7ee2e567377.jpg,,,,,,,,,
17,Hot,Hot Coffees,Flat Whites,Flat White,Flat White,Grande,220,220,17,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
,Hot,Hot Coffees,Lattes,Blonde Caffè Latte,Blonde Caffè Latte,Grande,190,190,18,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,,,,,,,,,
,Hot,Hot Coffees,Lattes,Blonde Smoked Butterscotch Latte,Blonde Smoked Butterscotch Latte,Grande,310,310,35,https://globalassets.starbucks.com/assets/eea44e2041234b9cbaaff6607bea1d23.jpg,,,,,,,,,
,Hot,Hot Coffees,Lattes,Blonde Vanilla Latte,Blonde Vanilla Latte,Grande,240,240,31,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,,,,,,,,,
5,Hot,Hot Coffees,Lattes,Caffè Latte,Caffè Latte,Grande,190,242.5,18,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,,,,,,,,,
,Hot,Hot Coffees,Lattes,Cinnamon Dolce Latte,Cinnamon Dolce Latte,Grande,340,340,41,https://globalassets.starbucks.com/assets/9329c03ce24f4623be25dd24d7537db2.jpg,,,,,,,,,
19,Hot,Hot Coffees,Lattes,Coconutmilk Latte,Coconutmilk Latte,Grande,130,130,12,https://globalassets.starbucks.com/assets/9eb90cb6981d42f5859376c4be666060.jpg,,,,,,,,,
