Rank,Category1,Category2,Name,Size,Calories,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
23,Hot Coffees,Brewed Coffees,Featured Starbucks® Dark Roast Coffee,Grande,5,0,https://globalassets.starbucks.com/assets/0279f9c5fa5941d2a65dd183d7a0b386.jpg,,,,,,,,,
23,Hot Coffees,Brewed Coffees,Featured Starbucks® Dark Roast Coffee,Venti,5,0,https://globalassets.starbucks.com/assets/0279f9c5fa5941d2a65dd183d7a0b386.jpg,,,,,,,,,
,Hot Coffees,Brewed Coffees,Caffè Misto,Short,50,5,https://globalassets.starbucks.com/assets/d668acbc691b47249548a3eeac449916.jpg,,,,,,,,,
,Hot Coffees,Brewed Coffees,Caffè Misto,Tall,80,8,https://globalassets.starbucks.com/assets/d668acbc691b47249548a3eeac449916.jpg,,,,,,,,,
,Hot Coffees,Brewed Coffees,Caffè Misto,Grande,110,10,https://globalassets.starbucks.com/assets/d668acbc691b47249548a3eeac449916.jpg,,,,,,,,,
,Hot Coffees,Brewed Coffees,Caffè Misto,Venti,130,13,https://globalassets.starbucks.com/assets/d668acbc691b47249548a3eeac449916.jpg,,,,,,,,,
,Hot Coffees,Brewed Coffees,Decaf Pike Place® Roast,Short,5,0,https://globalassets.starbucks.com/assets/51bf549cd8e9434da941fec33b820d39.jpg,,,,,,,,,
,Hot Coffees,Brewed Coffees,Decaf Pike Place® Roast,Tall,5,0,https://globalassets.starbucks.com/assets/51bf549cd8e9434da941fec33b820d39.jpg,,,,,,,,,
,Hot Coffees,Brewed Coffees,Decaf Pike Place® Roast,Grande,5,0,https://globalassets.starbucks.com/assets/51bf549cd8e9434da941fec33b820d39.jpg,,,,,,,,,
,Hot Coffees,Brewed Coffees,Decaf Pike Place® Roast,Venti,5,0,https://globalassets.starbucks.com/assets/51bf549cd8e9434da941fec33b820d39.jpg,,,,,,,,,
26,Hot Coffees,Cappuccinos,Cappuccino,Short,80,7,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,,,,,,,,,
